序號,縣市別,名稱,公告日期,公告文號,限制事項,保育對象,保護等級分類,11月21日管理執行進度,2月18日至19日電洽執行進度,4月至5月管理執行進度
11,64000,南沙太平島海龜繁殖保育區(已失效),1996-03-03,高市府海一字第0960008087號,1.陸域產卵棲息地從沙灘至樹林外側。。2.海域重要棲息環境從潮間帶暨低潮線以深12浬。。3.不得以任何方式進入採捕保育種類或進行破壞水產生物棲地環境之行為。,海龜,3,該區域地處偏遠且位於軍事敏感區，目前周遭之中國大陸、菲律賓、越南、及馬來西亞等國家均宣稱擁有南沙群島之主權，爰告示牌之設置將適時與代管之海巡單位再行協商。,南沙海龜保育已列入98.07.08通過之「野生動物保育法」之相關法條詳細規範，復依內政部100年3月14日台內民字第1000048730號函示，本公告因縣市合併而失效。,南沙海龜保育已列入98.07.08通過之「野生動物保育法」之相關法條詳細規範，復依內政部100年3月14日台內民字第1000048730號函示，本公告失效
12,10013,琉球漁業資源保育區,2014-06-25,屏府農漁字第10318247001號,1.西北分區：自老人會館起(點D1，22°21.323'N  120°22.862'E )至杉福漁港(點D2，22°20.520'N  120°21.772'E)止。以高潮線起向外延伸200公尺，扣除箱網養殖區(L1-L8)及杉福潮間帶保育示範區(A1-A5)所圍之海域。。2.潮間帶保育示範區：。(1)杉福潮間帶保育示範區：杉福潮間帶由A1-A5所圍之海域。。(2)漁埕尾潮間帶保育示範區：漁埕尾潮間帶由A-F所圍之區域。。3.環島分區：琉球全島沿岸高潮線起向外延伸200公尺扣除西北分區、箱網養殖區及潮間帶保育示範區之範圍。。4.琉球新漁港、小琉球漁港、漁福漁港、大福漁港、天福漁港、杉福漁港及其航道範圍，業經該府功告相關管理及限制事項者，從其規定。。5.西北分區及環島分區：除經主管機關核准之學術研究及管理單位人員外，禁止於保育區範圍內以任何方式採捕（含徒手）保育對象或破壞棲息環境之行為。。6.潮間帶保育示範區：。(1)未經該府認證合格之解說人員帶領不得進入，經主管機關核准之學術研究及管理單位人員除外。。(2)同一時間進入杉福潮間帶保育示範區人數以300人、漁埕尾潮間帶保育示範區以500人為限，且僅限進入該府劃設之人員行走路線水域(以浮球或其他方式標識適當路線)。。(3)每年12月至翌年3月禁止所有人員進入(當地居民及經該府同意研究人員除外)。。(4)除經主管機關核准之學術研究及管理單位人員外，禁止於保育區範圍內以任何方式採捕（含徒手）保育對象或破壞棲息環境之行為。。(5)潮間帶保育示範區範圍，該府得視保育成效或管理需求予以調整。,1.西北分區：龍蝦、馬尾藻、海膽、珊瑚礁魚類及其他水產動物(洄游性魚類除外)。2.潮間帶保育示範區：所有水產動物及馬尾藻。3.環島分區：龍蝦、海膽及馬尾藻,西北分區及杉福潮間帶保育示範區：2；。環島分區：3,1.琉球漁業資源保育區業於本（101）年7月25日修正公告，新設置杉福潮間帶保育示範區，管制退潮時段同時不超過300人入內，現場應由受訓通過導遊進行固定路線導覽。該保育區係由當地海巡單位及東港分局派駐12為警察協同管制，至今計有2件遊客採集潮間帶海膽處罰案件。。2.車城漁業資源保育區之經緯度，已委託國立海洋生物博物館前往查察生態及較適區位，俟完成後再行公告。。3.國立海洋生物博物館資源培育區為海生館建議劃設，惟該區海域因鄰近後灣漁港管理不易，目前俟檢討該漁港區存廢後，再由海生館規劃該資源培育區之管理方案及配合環境教育區之方式，再予重新檢討公告事宜。。4.目前僅琉球漁業資源保育區高潮線附近設置告示牌，但因鹽蝕不清，該府已陸續重新製作，告示牌狀況平時委由琉球區漁會巡查。,1.該府已陸續重新製作告示牌，其中業於琉球漁業資源保育區之杉福潮間帶保育示範區及大福漁港優先設置新的告示牌，並預定今年度完成琉球漁業資源保育區全區設置。。2.車城漁業資源保育區之經緯度，已委託國立海洋生物博物館前往查察生態及較適區位，俟完成後再行公告。。3.國立海洋生物博物館資源培育區為海生館建議劃設，惟該區海域因鄰近後灣漁港管理不易，目前俟檢討該漁港區存廢後，再由海生館規劃該資源培育區之管理方案及配合環境教育區之方式，再予重新檢討公告事宜。,1.該府已陸續重新製作告示牌，其中業於琉球漁業資源保育區之杉福潮間帶保育示範區及大福漁港優先設置新的告示牌，並預定今年度完成琉球漁業資源保育區全區設置。。2.車城漁業資源保育區之經緯度，已委託國立海洋生物博物館前往查察生態及較適區位，俟完成後再行公告。。3.國立海洋生物博物館資源培育區為海生館建議劃設，惟該區海域因鄰近後灣漁港管理不易，目前俟檢討該漁港區存廢後，再由海生館規劃該資源培育區之管理方案及配合環境教育區之方式，再予重新檢討公告事宜。
13,10013,車城漁業資源保育區,2012-07-25,屏府農漁字第10123807100號,1.車城鄉竹坑至海口間海域海岸線長約２公里、水深至１至１１公尺。。2.除經主管機關核准之學術研究外，禁止於保育區範圍內以任何方式採捕（含徒手）保育對象或破壞棲息環境之行為。　,九孔、龍蝦、紫菜、石花菜,3,,,
14,10013,國立海洋生物博物館資源培育區,1989-07-31,89屏府農漁字第117607號,1.屏東縣車城鄉金沙崙以南水深50公尺以淺之海域，自22°5'N以南；120°41'E。。2.資源培育區內各項開發及漁業行為，需經管理單位同意後始可進行。,保育區內水產動物均屬之,2,,,
15,10014,富山漁業資源保育區,2014-06-03,府農漁字第1030105731B號,1.北起A點（臺11線－潮來橋），南至E點（臺11線152.5公里處）之沿岸平均高潮線向外海延伸約500公尺，與B、D、F三點所圍成之海域；另以C點（安天宮）與D點為分界，以北為永續使用區，以南為核心區，(如圖)。。2.於保育區內從事各項觀光、遊憩等活動，不得有以石塊擲魚、抓魚離水或其他危害海洋生物之行為，亦不得有將廢棄物拋入海中、騎乘水上摩托車或其他破壞海洋生物棲地環境之行為。。3.於保護區內餵食海洋生物應遵照管理單位、志工或本府認證合格之解說人員之管制，不得任意為之。。4.「核心區」除為試驗研究目的，並經該府許可外，不得以任何方式採捕各類水產動植物。。5.「永續使用區」除為試驗研究目的及其他必要事項，並經本府許可外，不得以任何方式採捕各類水產動植物。,保育區內水產動植物均屬之,核心區：2。永續使用區：3,1.該府業於101年9月20日以府農漁字第1010175559B號公告修正該縣「小馬」、「小港」及「宜灣」等3處漁業資源保育區之位置及有關限制事宜，以WGS84座標系統明確標的經緯度資料。。2.另因該縣海岸線多有阿美族部落，完全禁漁區之設置將涉及原住民基本法傳統領域（海域）問題，該府將俟與當地民眾形成共識，且有更周延措施後，再行推動。。3.另告示牌之設置，因本年度無是項經費，該府將俟明年度經費編列，再行辦理。,業已規劃經費製作告示牌中。,1.小馬、小港、宜灣漁業資源保育區業於101年9月20日府農漁字第1010175559B號公告，以WGS84座標系統明確標定經緯度。。2.告示牌設置採購案，刻正準備招標文件資料，俟完成再予提供完工照片。
16,10014,小馬漁業資源保育區,2012-09-20,府農漁字第1010175559B號,"範圍：成功鎮都歷(C1)起至小馬(C3)間，由C1至C2連線以南，C3至C4連線以北，自低潮線向外海延伸200公尺沿岸海域，海岸線長約5公里。。C1:23°01'12.6""N  121°20'10.3""E。C2:23°01'14.1""N  121°20'17.1""E。C3:22°59'58.6""N  121°19'16.3""E。C4:22°59'58""N  121°19'23.4""E。限制事項：。1.保育區範圍內全年禁止採捕保育對象，如有必要時由本府另行公告開放採捕期間。。2.本保育區公告開放採捕期間禁止採捕體長未滿二十公分之龍蝦及殼長未滿四公分之九孔。",龍蝦、九孔,3,,,
17,10014,小港漁業資源保育區,,,"範圍：成功鎮玉水橋(B1)起至小港(B3)間，由B1至B2連線以南，B3至B4連線以北，自低潮線向外海延伸200公尺沿岸海域，海岸線長約2.5公里。。B1:23°10'11.9""N  121°24'16.2""E。B2:23°10'15.2""N  121°24'22.3""E。B3:23°09'30.6""N  121°24'18""E。B4:23°09'27.4''N  121°24'24""E。限制事項：。1.保育區範圍內全年禁止採捕保育對象，如有必要時由本府另行公告開放採捕期間。。2.本保育區公告開放採捕期間禁止採捕體長未滿二十公分之龍蝦及殼長未滿四公分之九孔。",龍蝦、九孔,3,,,
18,10014,宜灣漁業資源保育區,,,"範圍：成功鎮宜灣(A1)起至重安(A3)間，由A1至A2連線以南，A3至A4連線以北，自低潮線向外海延伸200公尺沿岸海域，海岸線長約3公里。。A1:23°12'20.7""N  121°23'47.4""E。A2:23°12'19.2""N  121°23'54.1""E。A3:23°11'22.9""N  121°23'51.2""E。A4:23°11'23.9''N  121°23'58.1""E。限制事項：。1.保育區範圍內全年禁止採捕保育對象，如有必要時由本府另行公告開放採捕期間。。2.本保育區公告開放採捕期間禁止採捕體長未滿二十公分之龍蝦及殼長未滿四公分之九孔。",龍蝦、九孔,3,,,
19,10014,綠島漁業資源保育區,2014-04-25,府農漁字第1030076873B號,1.柴口分區：。(1)範圍：柴口浮潛區潛水步道西約四ＯＯ公尺（A1）起至柴口浮潛區潛水步道東約一ＯＯ公尺（A3）間，由A1至A2連線以東，A3至A4連線以西，自平均高潮線向外海延伸至相對於平均低潮線向外海延伸約一ＯＯ公尺沿岸水域（A1-A4座標詳如附表）。。(2)保育對象：各類水產動植物。。2.石朗分區：。(1)範圍：南寮漁港-南方防波堤（B1）起至石朗浮潛區潛水步道-南約三ＯＯ公尺（B8）間，由B1至B8連線所圍之海域（B1-B8座標詳如附表）。B4至B5連線距離平均高潮線約二九Ｏ公尺。。(2)保育對象：各類水產動植物。。3.龜灣分區：。(1)範圍：大哥隧道-北向入口（C1）起至大白沙潛水步道(C3)間，由C1至C2連線以南，C3至C4連線以北，自平均高潮線向外海延伸至相對於平均低潮線向外海延伸約五ＯＯ公尺沿岸水域（C1-C4座標詳如附表）。。(2)保育對象：燕魚、硨磲貝、體長未滿二十公分之龍蝦及殼長未滿五公分之九孔。。4.環島分區：。(1)範圍：本縣綠島全島沿岸潮間帶及自低潮線向外海沿伸二ＯＯ公尺扣除柴口、石朗及龜灣分區之沿岸水域。。(2)保育對象：殼長未滿十五公分之硨磲貝、體長未滿二十公分之龍蝦及殼長未滿五公分之九孔。。5.限制事項：。(1)於本保育區內禁止使用任何方式採捕或危害保育對象，基於學術研究目的或其他必要事項，經本府許可者，不在此限。。(2)於本保育區內禁止攜帶水肺採捕各分區之非保育對象。。(3)於本保育區?從事各項觀光、遊憩、漁撈活動或進行開發等，不得有破壞海洋生物棲地環境之行為。,各類水產動植物,石朗與柴口分區：2。環島及龜灣分區：3,,,
20,10015,鹽寮保育區,2013-01-28,府農漁字第1020019278B號,1.自本縣壽豐鄉鹽寮村台11縣福德橋(A1：23°53’07.5''N；121°36’12.5''E)起至鹽寮橋(A3：23°51’36.9''N；121°35’51.8''E)止，由A1(23°53’07.5''N；121°36’12.5''E)至A2(23°53’07.5''N；121°36’19.6''E)連線以南，A3(23°51’36.9''N；121°35’51.8''E)至A4(23°51’36.9''N；121°35’58.9''E)連線以北，由低潮線向外海延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。,龍蝦、九孔,3,該府所轄現有漁業資源保育區之公告範圍，因台11線改建後，標示位置已與現況不符，目前刻正辦理公告位置確認及衛星定位中。,該府業於102年1月28日以府農漁字第1020019278B號修正公告，惟本年度無編列是項經費，爰須另尋經費設置告示牌。,1.業以於102年1月28日公告修正現有漁業資源保育區，以WGS84座標系統定位範圍，及修正違反公告事項者，依漁業法第65條第5款規定，處3萬元以上15萬元以下罰鍰。。2.另告示牌設置因該府102年度預算並無編列相關經費，目前尚未設置。
21,10015,水璉保育區,,,1.自本縣壽豐鄉鹽寮村台11縣水璉鼻(B1:23°43’29.4''N；121°33’23.6''E)起至第20號橋(B3:23°43’00.6''N；121°32’57.9''E)止，由B1(23°43’29.4''N；121°33’23.6''E)至B2(23°43’29.4''N；121°33’30.7''E)連線以南，B3(23°43’00.6''N；121°32’57.9''E)至B4(23°43’00.6''N；121°33’04.9''E)連線以北，由低潮線向外海延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。,,,,,
22,10015,高山保育區,,,1.自本縣豐濱鄉磯崎村高山站牌(C1:23°41’03.5''N；121°32’52.7''E)起至新崎橋(C3:23°40’23.9''N；121°32’47.3''E)止，由C1(23°41’03.5''N；121°32’52.7''E)至C2(23°41’03.5''N；121°32’59.8''E)連線以南，C3(23°40’23.9''N；121°32’47.3''E)至C4(23°40’23.9''N；121°32’54.3''E)連線以北，由低潮線向外海延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。。,,,,,
23,10015,小湖保育區,,,1.自本縣豐濱鄉新社村標示牌(D1:23°38’59.6''N；121°32’10.8''E)起沿台11縣向南2公里(D3:23°38’06.8''N；121°31’57.8''E)止，由D1(23°38’59.6''N；121°32’10.8''E)至D2(23°38’59.6''N；121°32’17.8''E)連線以南，由D3(23°38’06.8''N；121°31’57.8''E)至D4(23°38’06.8''N；121°32’04.9''E)連線以北，由低潮線向外海延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。,,,,,
24,10015,豐濱保育區,,,1.自本縣豐濱鄉台11縣57k號路標標示牌(E1:23°32’58.4''N；121°30’37.0''E)起至65k路標(E3:23°29’02.3''N；121°30’44.3''E)止，由E1(23°32’58.4''N；121°30’37.0''E)至E2(23°32’58.4''N；121°30’44.1''E)連線以南，E3(23°29’02.3''N；121°30’44.3''E)至E4(23°29’02.3''N；121°30’51.4''E)連線以北，由低潮線向外海延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。,,,,,
25,10015,石梯坪保育區,,,1.自本縣豐濱鄉港口村石梯坪標示牌(F1:23°28’50.0''N；121°30’33.8''E)起向南延伸1.5公里(F3:23°28’10.7''N；121°30’16.0''E)止，由F1(23°28’50.0''N；121°30’33.8''E)至F2(23°28’50.0''N；121°30’40.9''E)連線以南，F3(23°28’10.7''N；121°30’16.0''E)至F4(23°28’10.7''N；121°30’23.1''E)連線以北，由低潮線向外延伸200公尺之海域。。2.本保育區內全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕期間。。3.本保育區公告開放採捕期間禁止採捕體長未滿20公分之龍蝦及殼長未滿4公分之九孔。,,,,,
26,10016,小門漁業資源保育區,1988-12-28,八八澎府農漁字第73764號,1.西嶼鄉小門村附近海岸海域。由A、B、C、D四點所連之範圍水域內：。A點 23°39.3’N；119°30.4’E。。B點23°39.3’N；119°30.6’E。。C點23°39.4’N；119°30.4’E。。D點23°39.4’N；119°30.6’E。。2.全年禁捕，凡於公告禁捕期間，不得以任何方式進入保育區範圍內採捕保育種類(保育區開放採捕期間，有關採捕體長及漁具漁法之限制，俟時另行定之)。,九孔、海膽、龍蝦、鐘螺,3,該局經洽執行本署有關前揭保育區研究調查計畫之中央研究院邵廣昭老師研究團隊表示，相關研究調查工作仍在進行中，成果報告於12月下旬使能提供該局參考，爰俟相關研究調查成果報告完成，該局再行參酌相關科學研究調查數據，予以重新檢討並修正前揭保育區之範圍及管理措施。,該局刻正徵詢當地耆老及漁民之意見，評估是否依調查研究報告調整或擴大保育區面積或公告內容中，惟檢討期程冗長，該局擬評估是否依現有公告先行設置告示牌中。,告示牌業已委託規劃設計製作中，預定4月底前完成後再行提供照片
27,10016,七美漁業資源保育區,1988-12-28,八八澎府農漁字第73764號,1.七美鄉平和村(大港)水泥樁甲點至乙點處，自低潮線向外海延伸100公尺之沿岸海域。。2.全年禁捕，凡於公告禁捕期間，不得以任何方式進入保育區範圍內採捕保育種類(保育區開放採捕期間，有關採捕體長及漁具漁法之限制，俟時另行定之)。,九孔、海膽、龍蝦、鐘螺,3,,,
28,09020,金門古寧頭西北海域潮間帶鱟保育區,1999-01-19,府建漁字第0990005603號,"1.古寧頭潮間帶水域由A、B、C、D四點所圍成的區域：。A點:24°28'14.9""N  118°17'19.5""E             。B點:24°28'44.4""N 118°19'38.8""E               。C點:24°29'49.4""N  118°19'38.8""E              。D點:24°29'19.9""N  118°17'19.5""E。2.禁捕期間：99/1/1~103/12/31。。3.凡於公告禁捕期間，不得以任何方式進入保育區範圍內採捕保育之鱟或從事破壞其棲息環境之行為。",鱟,3,目前業已設立告示牌，惟尚未加入我國海洋保護區保護等級分類，已洽請廠商估價中。,已完成告示牌設立，於該保育區主要出入口設置1面。,業已設立告示牌

